Colony: Gambia
Year: 1914
Section: Exports
Type: statistics
---
### Exports

| Year | To U.K. | To Colonies | Elsewhere | Total |
|------|---------|-------------|-----------|-------|
| 1903 | £22,080 | £11,077     | £300,860  | £334,017 |
| 1904 | 13,781  | 15,011      | 282,491   | 311,283 |
| 1905 | 17,809  | 26,676      | 235,787   | 280,272 |
| 1906 | 20,462  | 30,586      | 377,630   | 428,678 |
| 1907 | 26,573  | 35,675      | 346,228   | 408,476 |
| 1908 | 51,197  | 15,589      | 307,352   | 374,138 |
| 1909 | 38,897  | 28,469      | 410,598   | 477,964 |
| 1910 | 38,610  | 50,959      | 445,879   | 535,447 |
| 1911 | 63,612  | 42,718      | 575,706   | 682,036 |
| 1912 | 50,641  | 34,234      | 650,297   | 736,172 |
