Colony: Gambia
Year: 1922
Section: Exports.
Type: statistics
---
**Exports.**

| Year | To U.K. | To Colonies | To Elsewhere | Total |
|------|---------|-------------|--------------|-------|
| 1911 | £63,612 | £42,718     | £575,706     | £682,036 |
| 1912 | 50,641  | 34,234      | 650,907      | 735,172 |
| 1913 | 62,392  | 56,059      | 749,756      | 867,187 |
| 1914 | 88,452  | 32,643      | 806,152      | 926,127 |
| 1915 | 171,352 | 61,414      | 363,031      | 595,797 |
| 1916 | 354,268 | 66,886      | 284,893      | 706,047 |
| 1917 | 765,380 | 86,978      | 195,146      | 1,046,504 |
| 1918 | 828,357 | 225,691     | 46,162       | 1,100,210 |
| 1919 | 1,124,675 | 328,812    | 100,937      | 1,553,524 |
| 1920 | 1,961,178 | 22,587     | 482,380      | 2,466,145 |
