Colony: Gambia
Year: 1897
Section: Exports
Type: statistics
---
Exports

| Year | To U.K. | To Colonies | To Elsewhere | Total |
|------|---------|-------------|--------------|-------|
| 1886 | 18,673  | 3,401       | 57,342       | 79,516 |
| 1887 | 27,730  | 3,706       | 55,497       | 86,933 |
| 1888 | 27,514  | 7,522       | 83,152       | 118,188|
| 1889 | 16,522  | 857        | 189,985      | 207,364|
| 1890 | 26,196  | 8,465       | 129,712      | 164,373|
| 1891 | 37,522  | 6,553       | 135,977      | 180,052|
| 1892 | 34,130  | 1,631       | 136,436      | 172,197|
| 1893 | 21,427  | 2,852       | 180,442      | 204,721|
| 1894 | 21,630  | 3,619       | 120,894      | 149,143|
| 1895 | 33,999  | 994         | 58,544       | 93,537 |

Customs revenue in 1893—26,946L.; 1894—19,370L.; 1895—14,357L.
