Colony: Gambia
Year: 1889
Section: ### Finances
Type: statistics
---
### Finances

| Year | Revenue | Expenditure | British Tonnage | Total Tonnage |
|------|---------|-------------|-----------------|--------------|
| 1878 | 26,546  | 18,376      | 79,040          | 145,882      |
| 1879 | 28,505  | 20,674      | 183,567         | 171,510      |
| 1880 | 23,341  | 18,361      | 112,508         | 160,496      |
| 1881 | 24,088  | 19,840      | 87,317          | 134,821      |
| 1882 | 26,625  | 19,721      | 91,027          | 160,159      |
| 1883 | 28,952  | 23,878      | 93,557          | 161,849      |
| 1884 | 24,958  | 29,482      | 91,146          | 150,791      |
| 1885 | 20,258  | 26,595      | 122,328         | 164,442      |
| 1886 | 14,233  | 28,353      | 108,377         | 136,296      |
| 1887 | 13,453  | 23,920      | 78,900          | 117,436      |
