Colony: Gambia
Year: 1890
Section: FINANCES.
Type: statistics
---
FINANCES.

| Year | Revenue | Expenditure | British Tonnage | Total Tonnage |
|------|---------|-------------|-----------------|---------------|
| 1879 | 28,505  | 20,674      | 138,567         | 171,510       |
| 1880 | 23,341  | 18,361      | 112,508         | 160,496       |
| 1881 | 24,088  | 19,840      | 87,317          | 134,821       |
| 1882 | 26,625  | 19,721      | 91,027          | 160,159       |
| 1883 | 28,952  | 23,878      | 93,557          | 161,349       |
| 1884 | 24,958  | 29,482      | 91,146          | 150,791       |
| 1885 | 20,258  | 26,595      | 122,328         | 164,442       |
| 1886 | 14,238  | 23,853      | 108,377         | 136,296       |
| 1887 | 13,453  | 23,920      | 78,900          | 117,436       |
| 1888 | 20,985  | 21,858      | 119,183         | 198,511       |
