Colony: Gambia
Year: 1894
Section: IMPORTS.
Type: statistics
---
IMPORTS.

| Year | From U.K. | From Colonies | From Elsewhere | Total |
|------|-----------|---------------|----------------|-------|
| 1883 | 93,997    | 37,841        | 86,100         | 217,938|
| 1884 | 89,172    | 47,085        | 75,865         | 212,122|
| 1885 | 35,490    | 26,758        | 35,437         | 97,685 |
| 1886 | 30,272    | 15,614        | 23,857         | 69,243 |
| 1887 | 31,234    | 14,208        | 33,558         | 80,800 |
| 1888 | 53,219    | 17,225        | 32,623         | 103,067|
| 1889 | 91,611    | 27,199        | 71,957         | 190,167|
| 1890 | 75,444    | 22,634        | 45,391         | 143,469|
| 1891 | 84,798    | 30,377        | 45,954         | 161,129|
| 1892 | 83,521    | 31,476        | 54,976         | 169,973|
