Colony: Gambia
Year: 1922
Section: Finances.
Type: statistics
---
**Finances.**

| Year | Revenue | Expenditure | British Tonnage | Total Tonnage |
|------|---------|-------------|-----------------|---------------|
| 1911 | £86,454 | £71,390     | 287,680         | 480,911       |
| 1912 | 96,222  | 81,340      | 361,883         | 583,458       |
| 1913 | 124,995 | 96,210      | 371,419         | 626,132       |
| 1914 | 86,071  | 120,921     | 366,396         | 571,940       |
| 1915 | 92,263  | 89,028      | 317,399         | 530,624       |
| 1916 | 103,075 | 83,218      | 242,706         | 371,676       |
| 1917 | 117,977 | 94,519      | 290,288         | 398,524       |
| 1918 | 133,324 | 88,703      | 262,274         | 282,066       |
| 1919 | 180,585 | 143,451     | 354,837         | 441,860       |
| 1920 | 268,789 | 171,160     | 592,959         | 802,028       |
