Colony: Gambia
Year: 1889
Section: ### Exports
Type: statistics
---
### Exports

| Year | To U.K. | To Colonies | To Elsewhere | Total |
|------|---------|-------------|--------------|-------|
| 1878 | 15,082  | 2,090       | 187,129      | 204,801 |
| 1879 | 16,522  | 857         | 189,985      | 207,364 |
| 1880 | 7,565   | 34          | 131,884      | 189,988 |
| 1881 | 12,425  | 1,770       | 126,228      | 140,428 |
| 1882 | 35,522  | —           | 219,189      | 254,711 |
| 1883 | 46,233  | 1,899       | 160,488      | 208,120 |
| 1884 | 18,753  | 3,195       | 177,534      | 199,482 |
| 1885 | 9,556   | 4,663       | 105,166      | 119,886 |
| 1886 | 18,673  | 3,401       | 57,442       | 79,516  |
| 1887 | 27,730  | 3,706       | 55,497       | 86,933  |
