Colony: Gambia
Year: 1920
Section: ### Shipping Entered and Cleared
Type: statistics
---
### Shipping Entered and Cleared

| Year | From U.K. | From Colonies | Elsewhere | Total |
|------|-----------|---------------|-----------|-------|
| 1909 | £187,546  | £62,037       | £154,977  | £404,560 |
| 1910 | 233,737   | 66,710        | 278,536   | 578,983 |
| 1911 | 272,501   | 74,513        | 460,104   | 807,118 |
| 1912 | 269,896   | 87,730        | 399,227   | 766,853 |
| 1913 | 387,423   | 94,444        | 609,262   | 1,091,129 |
| 1914 | 254,358   | 78,389        | 355,260   | 688,007 |
| 1915 | 198,328   | 64,316        | 258,507   | 521,151 |
| 1916 | 435,751   | 95,788        | 353,015   | 884,554 |
| 1917 | 529,342   | 234,421       | 227,863   | 991,626 |
| 1918 | 920,320   | 285,771       | 251,923   | 1,458,014 |
