Colony: Gambia
Year: 1915
Section: FINANCES.
Type: statistics
---
#### FINANCES.

| Year | Revenue | Expenditure | British Tonnage | Total Tonnage |
|------|---------|-------------|-----------------|---------------|
| 1904 | £54,180 | £52,301     | 232,001         | 367,560       |
| 1905 | 51,868  | 72,297      | 204,969         | 325,236       |
| 1906 | 65,430  | 56,900      | 255,165         | 404,515       |
| 1907 | 65,892  | 57,727      | 304,503         | 453,784       |
| 1908 | 57,898  | 61,097      | 301,287         | 418,441       |
| 1909 | 72,676  | 56,237      | 338,604         | 495,963       |
| 1910 | 82,880  | 63,301      | 323,880         | 506,914       |
| 1911 | 86,454  | 71,390      | 287,680         | 480,911       |
| 1912 | 96,222  | 81,340      | 361,883         | 583,458       |
| 1913 | 124,995 | 95,210      | 371,419         | 625,132       |
