Colony: Gambia
Year: 1950
Section: PUBLIC FINANCE
Type: statistics
---
### PUBLIC FINANCE

| Year | Revenue (£) | Expenditure (£) | Public Debt (£) |
|------|------------|----------------|----------------|
| 1939 | 152,000    | 206,000        | 38,760         |
| 1940 | 204,000    | 199,000        | 38,760         |
| 1941 | 247,197    | 208,453        | 38,760         |
| 1942 | 407,753    | 295,311        | 38,760         |
| 1943 | 475,910    | 425,940        | 38,760         |
| 1944 | 523,908    | 526,023        | 38,760         |
| 1945 | 587,004    | 430,729        | 38,760         |
| 1946 | 616,328    | 545,854        | 38,760         |
| 1947 | 693,774    | 633,273        | 38,760         |
| 1948 | 866,899    | 1,014,098      | 38,760*        |

* Sinking fund, £15,246.
