Colony: Sierra Leone
Year: 1908
Section: **FINANCES.**
Type: statistics
---
**FINANCES.**

| Year | Revenue | Expenditure | British Tonnage | Total Tonnage |
|------|---------|-------------|-----------------|---------------|
|      | £       | £           |                 |               |
| 1897 | 106,009 | 111,678     | 835,538         | 1,084,745     |
| 1898 | 117,681 | 121,112     | 863,327         | 1,110,228     |
| 1899 | 168,382 | 145,088     | 918,256         | 1,181,748     |
| 1900 | 168,668 | 156,421     | 994,328         | 1,290,933     |
| 1901 | 192,138 | 173,457     | 1,028,941       | 1,249,808     |
| 1902 | 205,765 | 184,940     | 1,153,867       | 1,467,388     |
| 1903 | 237,730 | 206,464     | 1,354,590       | 1,688,357     |
| 1904 | 240,472 | 237,892     | 1,280,091       | 1,595,914     |
| 1905 | 281,523 | 295,490     | 1,267,178       | 1,616,272     |
| 1906 | 305,074 | 285,661     | 1,302,760       | 1,684,736     |
