Colony: Sierra Leone
Year: 1889
Section: Imports.
Type: statistics
---
Imports.

| Year | From U.K. | From Colonies | From Elsewhere | Total |
|------|-----------|---------------|----------------|-------|
| 1878 | 882,599   | 55            | 82,815         | 465,469 |
| 1879 | 280,877   | 452           | 99,058         | 380,387 |
| 1880 | 321,529   | 7,931         | 115,898        | 445,358 |
| 1881 | 260,580   | 12,439        | 75,482         | 348,401 |
| 1882 | 272,495   | 7,980         | 85,698         | 366,173 |
| 1883 | 301,934   | 5,126         | 85,868         | 392,928 |
| 1884 | 329,773   | 8,108         | 74,794         | 412,675 |
| 1885 | 229,422   | 4,472         | 72,415         | 306,309 |
| 1886 | 186,750   | 8,588         | 74,528         | 264,866 |
| 1887 | 247,764   | 1,923         | 58,851         | 308,038 |
