Colony: Sierra Leone
Year: 1934
Section: EXPORTS.
Type: statistics
---
**EXPORTS.**

| Year | To U.K. | To other B.W.A. Colonies | To Elsewhere | Total |
|------|---------|--------------------------|--------------|-------|
| 1923 | 1,143,494 | 142,543                  | 381,188      | 1,607,225 |
| 1924 | 1,253,892 | 137,556                  | 319,990      | 1,711,438 |
| 1925 | 1,221,767 | 162,224                  | 436,644      | 1,820,635 |
| 1926 | 773,299   | 297,671                  | 800,476      | 1,871,446 |
| 1927 | 603,748   | 228,912                  | 934,599      | 1,767,259 |
| 1928 | 539,488   | 271,919                  | 1,017,686    | 1,829,093 |
| 1929 | 531,017   | 224,319                  | 776,901      | 1,532,237 |
| 1930 | 337,376   | 192,233                  | 686,437      | 1,216,046 |
| 1931 | 450,423   | 60,626                   | 412,564      | 923,613  |
| 1932 | 370,356   | 55,160                   | 607,267      | 932,773  |

Customs Revenue. 1929, 508,139£; 1930, 428,369£; 1931, 340,068£; 1932, 452,890£.
