Colony: Sierra Leone
Year: 1923
Section: **Imports.**
Type: statistics
---
**Imports.**

| Year | From U.K. | From other B.W.A. Colonies | Elsewhere | Total |
|------|-----------|---------------------------|-----------|-------|
| 1912 | 912,014   | 130,247                   | 382,603   | 1,424,864 |
| 1913 | 1,138,683 | 163,158                   | 448,462   | 1,750,303 |
| 1914 | 979,796   | 82,827                    | 342,726   | 1,405,049 |
| 1915 | 870,901   | 73,167                    | 311,687   | 1,255,755 |
| 1916 | 941,899   | 88,584                    | 260,344   | 1,290,827 |
| 1917 | 1,000,126 | 17,393                    | 315,233   | 1,332,752 |
| 1918 | 1,313,113 | 22,377                    | 344,846   | 1,680,336 |
| 1919 | 1,372,985 | 65,982                    | 684,377   | 2,123,444 |
| 1920 | 2,559,047 | 88,020                    | 901,411   | 3,548,478 |
| 1921 | 1,225,313 | 72,510                    | 471,805   | 1,769,628 |
