Colony: Sierra Leone
Year: 1934
Section: IMPORTS.
Type: statistics
---

**IMPORTS.**

| Year | From U.K. | From B.W.A. Colonies | From other Elsewhere | Total |
|------|-----------|----------------------|----------------------|-------|
| 1923 | 1,466,799 | 16,651               | 476,530              | 1,949,981 |
| 1924 | 1,124,955 | 33,118               | 572,570              | 1,730,643 |
| 1925 | 1,428,177 | 33,623               | 714,661              | 2,178,481 |
| 1926 | 1,122,617 | 52,929               | 668,576              | 1,844,122 |
| 1927 | 1,296,475 | 43,074               | 772,475              | 2,112,024 |
| 1928 | 1,239,807 | 40,072               | 774,628              | 2,054,407 |
| 1929 | 977,692   | 53,387               | 757,974              | 1,789,053 |
| 1930 | 783,812   | 29,509               | 610,854              | 1,424,175 |
| 1931 | 722,792   | 14,872               | 403,947              | 1,141,611 |
| 1932 | 822,166   | 12,552               | 413,639              | 1,248,346 |
