Colony: Sierra Leone
Year: 1894
Section: **Exports.**
Type: statistics
---
**Exports.**

| Year | To U.K. | To Colonies | To Elsewhere | Total |
|------|---------|-------------|--------------|-------|
| 1883 | 168,666 | 33,298      | 240,409      | 442,373 |
| 1884 | 156,730 | 35,210      | 185,115      | 877,055 |
| 1885 | 122,088 | 21,297      | 183,546      | 326,932 |
| 1886 | 111,335 | 17,302      | 196,715      | 325,352 |
| 1887 | 120,188 | 15,695      | 197,634      | 333,517 |
| 1888 | 166,569 | 17,651      | 154,823      | 339,043 |
| 1889 | 131,077 | 23,992      | 164,650      | 819,719 |
| 1890 | 147,436 | 21,048      | 180,840      | 349,319 |
| 1891 | 218,294 | 32,177      | 227,185      | 477,656 |
| 1892 | 195,298 | 35,245      | 189,908      | 420,451 |

**Customs revenue, 1892, 69,410l.**
