Colony: Sierra Leone
Year: 1915
Section: Exports
Type: statistics
---
### Exports

| Year | To U.K. (£) | To B.W.A. (£) | To Other Colonies (£) | Total (£) |
|------|-------------|---------------|-----------------------|----------|
| 1904 | 182,956     | 71,586        | 230,328                | 484,870  |
| 1905 | 202,776     | 59,571        | 300,803                | 563,150  |
| 1906 | 218,180     | 97,072        | 401,371                | 716,623  |
| 1907 | 228,399     | 75,544        | 527,316                | 831,269  |
| 1908 | 177,216     | 139,360       | 420,179                | 736,755  |
| 1909 | 183,905     | 111,283       | 686,278                | 981,466  |
| 1910 | 180,254     | 234,785       | 834,328                | 1,249,367|
| 1911 | 315,507     | 180,954       | 810,577                | 1,307,038|
| 1912 | 272,736     | 219,734       | 1,048,285              | 1,540,754|
| 1913 | 230,091     | 251,882       | 1,246,979              | 1,730,952|

Customs Revenue, 1913, 317,463£.
