Colony: Sierra Leone
Year: 1896
Section: **SIERRA LEONE**
Type: statistics
---
**SIERRA LEONE**

### Imports

| Year | From U.K. | From Colonies | From Elsewhere | Total |
|------|-----------|---------------|----------------|-------|
| 1885 | 229,422   | 4,472         | 72,415         | 306,809|
| 1886 | 186,750   | 8,588         | 74,528         | 264,866|
| 1887 | 247,764   | 1,923         | 58,528         | 308,038|
| 1888 | 190,529   | 1,211         | 58,407         | 250,147|
| 1889 | 210,800   | 1,110         | 65,871         | 277,781|
| 1890 | 295,012   | 1,627         | 98,269         | 398,908|
| 1891 | 345,081   | 2,145         | 106,202        | 453,378|
| 1892 | 332,198   | 4,814         | 76,105         | 413,117|
| 1893 | 325,829   | 5,543         | 86,094         | 417,466|
| 1894 | 381,248   | 11,012        | 85,764         | 478,024|

### Exports

| Year | To U.K. | To Colonies | To Elsewhere | Total |
|------|---------|-------------|--------------|-------|
| 1885 | 122,088 | 21,297      | 183,546      | 326,932|
| 1886 | 111,335 | 17,302      | 196,715      | 325,352|
| 1887 | 120,188 | 15,695      | 197,634      | 333,517|
| 1888 | 166,569 | 17,651      | 154,828      | 339,047|
| 1889 | 131,077 | 23,992      | 164,650      | 319,719|
| 1890 | 147,436 | 21,043      | 180,840      | 349,318|
| 1891 | 218,294 | 32,177      | 227,185      | 477,659|
| 1892 | 195,298 | 35,245      | 189,908      | 420,451|
| 1893 | 166,055 | 30,480      | 202,129      | 398,664|
| 1894 | 196,171 | 24,873      | 205,435      | 426,499|
