Colony: Sierra Leone
Year: 1915
Section: Shipping Entered and Cleared
Type: statistics
---
### Shipping Entered and Cleared

| Year | From U.K. (£) | From B.W.A. (£) | From Other Colonies (£) | Total (£) |
|------|---------------|-----------------|-------------------------|----------|
| 1904 | 495,597       | 50,340          | 171,299                 | 717,236  |
| 1905 | 520,144       | 27,418          | 155,087                 | 702,649  |
| 1906 | 657,661       | 24,254          | 203,936                 | 885,851  |
| 1907 | 708,765       | 22,745          | 256,512                 | 988,022  |
| 1908 | 570,908       | 22,462          | 220,330                 | 813,700  |
| 1909 | 704,459       | 52,680          | 221,768                 | 978,807  |
| 1910 | 874,343       | 30,687          | 266,840                 | 1,162,470|
| 1911 | 954,238       | 37,004          | 282,789                 | 1,274,031|
| 1912 | 912,014       | 130,247         | 382,603                 | 1,424,864|
| 1913 | 1,138,683     | 163,158         | 448,462                 | 1,750,303|
