Colony: Sierra Leone
Year: 1933
Section: SIERRA LEONE.
Type: statistics
---
SIERRA LEONE.

| Year | From U.K. | From other B.W.A. Colonies | From Elsewhere | Total |
|------|-----------|-----------------------------|----------------|-------|
| 1922 | 1,076,408 | 24,151                      | 410,937        | 1,511,496 |
| 1923 | 1,456,799 | 16,651                      | 476,530        | 1,949,981 |
| 1924 | 1,124,955 | 33,118                      | 572,570        | 1,730,643 |
| 1925 | 1,428,177 | 35,623                      | 714,661        | 2,178,461 |
| 1926 | 1,122,617 | 52,929                      | 668,576        | 1,844,122 |
| 1927 | 1,296,476 | 43,074                      | 772,475        | 2,111,024 |
| 1928 | 1,239,807 | 40,072                      | 774,628        | 2,054,507 |
| 1929 | 977,692   | 53,387                      | 757,974        | 1,789,053 |
| 1930 | 783,812   | 29,509                      | 610,854        | 1,424,175 |
| 1931 | 722,792   | 14,872                      | 403,947        | 1,141,611 |

| Year | To U.K. | To other B.W.A. Colonies | To Elsewhere | Total |
|------|---------|--------------------------|--------------|-------|
| 1922 | 941,394 | 164,649                  | 266,919      | 1,372,962 |
| 1923 | 1,143,494 | 142,543                | 381,188      | 1,607,325 |
| 1924 | 1,253,892 | 137,556                | 319,990      | 1,711,438 |
| 1925 | 1,221,767 | 162,224                | 436,644      | 1,820,635 |
| 1926 | 773,299  | 297,671                  | 800,476      | 1,871,446 |
| 1927 | 603,748  | 228,912                  | 934,599      | 1,767,259 |
| 1928 | 539,488  | 271,919                  | 1,017,686    | 1,829,093 |
| 1929 | 531,017  | 224,319                  | 776,901      | 1,532,237 |
| 1930 | 337,376  | 192,233                  | 686,437      | 1,216,046 |
| 1931 | 450,423  | 60,628                   | 412,564      | 923,613 |

Customs Revenue. 1929, 508,139£; 1930, 428,369£; 1931, 340,056£.
