Colony: Sierra Leone
Year: 1915
Section: Finances
Type: statistics
---
### Finances

| Year | Revenue (£) | Expenditure (£) | Total Tonnage |
|------|-------------|-----------------|---------------|
| 1904 | 240,472     | 237,892         | 1,280,091     |
| 1905 | 281,523     | 295,490         | 1,267,178     |
| 1906 | 305,074     | 285,661         | 1,302,760     |
| 1907 | 359,104     | 345,567         | 1,456,906     |
| 1908 | 321,000     | 341,871         | 1,583,145     |
| 1909 | 361,326     | 336,746         | 1,626,528     |
| 1910 | 424,215     | 361,222         | 1,654,924     |
| 1911 | 457,759     | 432,448         | 1,655,837     |
| 1912 | 559,855     | 524,417         | 1,872,980     |
| 1913 | 618,383     | 622,439         | 2,051,310     |
