Colony: Sierra Leone
Year: 1928
Section: SIERRA LEONE.
Type: statistics
---
SIERRA LEONE.

| Year | From U.K. | From other B.W.A. Colonies. | Elsewhere | Total | Year | To U.K. | To other B.W.A. Colonies. | Elsewhere | Total |
|------|-----------|-----------------------------|-----------|-------|------|--------|--------------------------|-----------|-------|
| 1917 | 1,000,126 | 17,393                      | 315,233   | 1,332,752 | 1917 | 919,102 | 160,359                  | 418,634   | 1,497,995 |
| 1918 | 1,313,113 | 22,377                      | 344,846   | 1,680,336 | 1918 | 787,022 | 169,443                  | 560,406   | 1,516,871 |
| 1919 | 1,372,985 | 65,982                      | 684,377   | 2,123,344 | 1919 | 1,374,510 | 288,606                  | 438,451   | 2,101,569 |
| 1920 | 2,559,047 | 88,020                      | 901,411   | 3,548,478 | 1920 | 1,569,300 | 503,653                  | 876,427   | 2,949,380 |
| 1921 | 1,225,313 | 72,510                      | 471,805   | 1,769,628 | 1921 | 1,063,836 | 217,226                  | 354,066   | 1,625,128 |
| 1922 | 1,076,408 | 24,151                      | 410,937   | 1,511,496 | 1922 | 941,394  | 164,549                  | 266,919   | 1,372,862 |
| 1923 | 1,456,799 | 16,651                      | 476,530   | 1,949,981 | 1923 | 1,143,494 | 142,643                  | 381,188   | 1,607,325 |
| 1924 | 1,124,956 | 33,118                      | 572,570   | 1,730,643 | 1924 | 1,263,892 | 137,556                  | 319,990   | 1,711,438 |
| 1925 | 1,428,177 | 35,623                      | 714,661   | 2,178,461 | 1925 | 1,221,767 | 162,224                  | 436,644   | 1,820,635 |
| 1926 | 1,122,617 | 52,929                      | 668,576   | 1,844,122 | 1926 | 773,299  | 297,671                  | 800,476   | 1,871,446 |

Customs Revenue, 1926, 452,675l.
