Colony: Sierra Leone
Year: 1912
Section: ### IMPORTS
Type: statistics
---
### IMPORTS

| Year | From U.K. | From Colonies | Elsewhere | Total |
|------|-----------|--------------|-----------|-------|
| 1901 | 411,578   | 10,857       | 125,851   | 548,286|
| 1902 | 455,922   | 21,894       | 148,120   | 625,936|
| 1903 | 514,970   | 36,658       | 146,199   | 700,827|
| 1904 | 495,597   | 50,340       | 171,299   | 717,236|
| 1905 | 520,144   | 27,418       | 155,087   | 702,649|
| 1906 | 657,661   | 24,254       | 203,936   | 885,851|
| 1907 | 708,765   | 22,745       | 256,512   | 988,022|
| 1908 | 570,908   | 22,462       | 220,330   | 813,700|
| 1909 | 704,459   | 52,580       | 221,768   | 978,807|
| 1910 | 874,943   | 30,687       | 256,840   | 1,162,470|
