Colony: Sierra Leone
Year: 1896
Section: Imports
Type: statistics
---
| Year | From U.K. | From Colonies | From Elsewhere | Total |
|------|-----------|---------------|----------------|-------|
| 1885 | 229,422   | 4,472         | 72,415         | 306,809|
| 1886 | 186,750   | 8,588         | 74,528         | 264,866|
| 1887 | 247,764   | 1,923         | 58,528         | 308,038|
| 1888 | 190,529   | 1,211         | 58,407         | 250,147|
| 1889 | 210,800   | 1,110         | 65,871         | 277,781|
| 1890 | 295,012   | 1,627         | 98,269         | 398,908|
| 1891 | 345,081   | 2,145         | 106,202        | 453,378|
| 1892 | 332,198   | 4,814         | 76,105         | 413,117|
| 1893 | 325,829   | 5,543         | 86,094         | 417,466|
